Layer name,Ifmap height,ifmap width,filter height,filter width,channels,num filters,strides,batch size
conv,300,300,3,3,3,40,2,
mbconv1,112,112,3,3,40,24,1,
mbconv6_1,112,112,3,3,24,32,2,
mbconv6_2,112,112,3,3,24,32,2,
mbconv6_1,56,56,5,5,32,48,2,
mbconv6_2,56,56,5,5,32,48,2,
mbconv6_1,28,28,3,3,48,96,2,
mbconv6_2,28,28,3,3,48,96,2,
mbconv6_3,28,28,3,3,48,96,2,
mbconv6_1,14,14,5,5,96,136,1,
mbconv6_2,14,14,5,5,96,136,1,
mbconv6_3,14,14,5,5,96,136,1,
mbconv6_1,14,14,5,5,136,232,2,
mbconv6_2,14,14,5,5,136,232,2,
mbconv6_3,14,14,5,5,136,232,2,
mbconv6_4,14,14,5,5,136,232,2,
mbconv6_1,7,7,3,3,232,384,1,
fc,7,7,1,1,384,1536,1,